ID,adsorption_energy,log2(AE)
11169,128.3,7.00337736
11170,208.89,7.706599619
11171,164.58,7.362645218
11172,52.29,5.708463165
11173,108.93,6.767257526
11174,190.08,7.570462931
11175,136.51,7.092862829
11176,54.57,5.770036139
11177,49.61,5.632559052
11178,159.91,7.321116351
11179,183.56,7.520107902
11180,194.23,7.601622241
11181,46.02,5.524189078
11182,139.99,7.129179964
11183,283.2,8.145677455
11184,151.78,7.24583789
11185,110.13,6.78306371
11186,105.68,6.723558561
11187,60.91,5.928607199
11188,57.26,5.839455765
11189,53.57,5.743353391
11190,49.88,5.64038956
11191,59.36,5.891419187
11192,170.04,7.409730354
11193,120.56,6.913607512
11194,168.42,7.395919659
11195,127.16,6.990501111
11196,116.94,6.869624686
11197,51.39,5.683415747
11198,111.24,6.79753184
11199,49.35,5.62497818
11200,214.03,7.741669219
11201,124.26,6.957218149
11202,155.92,7.284662185
11203,107.86,6.753016129
11204,195.12,7.608217853
11205,166.07,7.375647668
11206,117.35,6.874674032
11207,187.23,7.548667807
11208,184.38,7.526538363
11209,183.71,7.521286349
11210,51.43,5.684538249
11211,161.26,7.333244817
11212,135.71,7.084383222
11213,99.52,6.63691458
11214,124.67,6.961970533
11215,109.93,6.780441343
11216,158.42,7.307610672
11217,180.47,7.495615224
11218,54.37,5.764738923
11219,171.5,7.422064766
11220,106.59,6.735928284
11221,54.63,5.771621518
11222,56.12,5.810443104
11223,118.19,6.884964165
11224,113.83,6.830737021
11225,152.56,7.253232939
11226,45.94,5.521678952
11227,120.18,6.909053017
11228,155.2,7.277984747
11229,170.38,7.412612185
11230,55.64,5.798050515
11231,180.46,7.495535281
11232,188.17,7.555892827
11233,313.29,8.29135491
11234,120.01,6.907010815
11235,78.64,6.297191417
11236,67.23,6.071033244
11237,172.33,7.429030064
11238,108.06,6.755688777
11239,66.99,6.065873847
11240,100.22,6.647026633
11241,57.03,5.833649128
11242,159.48,7.3172317
11243,89.71,6.487196907
11244,49.5,5.62935662
11245,128.91,7.010220373
11246,164.24,7.359661722
11247,175.19,7.452776617
11248,125.72,6.974070367
11249,184.68,7.528883827
11250,208.39,7.703142239
11251,144.05,7.17042585
11252,89.65,6.486231678
11253,63.89,5.997518235
11254,178.92,7.483170853
11255,131.69,7.041001987
11256,168.12,7.393347551
11257,131.85,7.042753761
11258,77.05,6.267723052
11259,87.12,6.444932049
11260,221.32,7.789990019
11261,151.97,7.247642743
11262,139.11,7.120082322
11263,104.14,6.702380502
11264,118.96,6.894332742
11265,46.34,5.534186139
11266,167.91,7.391544343
11267,236.84,7.887768949
11268,45.85,5.518849829
11269,148.23,7.211693651
